"Cnum","coursename","url","university"
"course134","Parallel Computing","http://ocw.mit.edu/courses/mathematics/18-337j-parallel-computing-fall-2011","MIT"
"course98","Introduction to Databases","http://online.stanford.edu/course/intro-to-databases-winter-2014","Stanford"
"course57","Coding Together: Developing Apps for iPhone and iPad","https://online.stanford.edu/course/coding-together-apps-iphone-and-ipad","Stanford"
"course70","Computer Language Engineering","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-034-artificial-intelligence-fall-2010","MIT"
"course1","Advanced Circuit Techniques ","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-331-advanced-circuit-techniques-spring-2002","MIT"
"course63","Introduction to Programming in Java","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-092-introduction-to-programming-in-java-january-iap-2010/","MIT"
"course177","Software Studio","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-170-software-studio-spring-2013","MIT"
"course39","Communications and Information Policy","http://ocw.mit.edu/courses/engineering-systems-division/esd-68j-communications-and-information-policy-spring-2006/","MIT"
"course82","Cryptography and Cryptoanalysis","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-875-cryptography-and-cryptanalysis-spring-2005/","MIT"
"course102","Big Data and Social Physics","https://www.edx.org/course/mitx/mitx-mas-s69x-big-data-social-physics-1737#.U8XcUk1OWCg","MIT"
"course36","Software Security","https://www.coursera.org/course/softwaresec","University of Maryland"
"course161","Elements of Software Construction","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-005-elements-of-software-construction-fall-2011/","MIT"
"course164","Introduction to Computer Science-Programming Abstractions","http://see.stanford.edu/see/courseinfo.aspx?coll=11f4f422-5670-4b4c-889c-008262e09e4e","Stanford"
"course192","Software Engineering for Web Applications","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-171-software-engineering-for-web-applications-fall-2003","MIT"
"course22","Theory of Parallel Systems","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-895-theory-of-parallel-systems-sma-5509-fall-2003/","MIT"
"course167","Natural Language Processing","http://online.stanford.edu/course/natural-language-processing","Stanford"
"course185","Topics in Theoretical Computer Science: Internet Research Problems ","http://ocw.mit.edu/courses/mathematics/18-996-topics-in-theoretical-computer-science-internet-research-problems-spring-2002/","MIT"
"course105","Developing Data Products","https://www.coursera.org/course/devdataprod","Johns Hopkins"
"course89","Cybersecurity and CISSP","http://mooc.kennesaw.edu/courses/cybersecurity.php","Kennesaw State University"
"course46","Introduction to Computer Networking","http://online.stanford.edu/course/intro-computer-networking-winter-2014","Stanford"
"course149","Natural Language and the Computer Representation of Knowledge","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-863j-natural-language-and-the-computer-representation-of-knowledge-spring-2003/","MIT"
"course2","Analysis and Design of Digital Integrated Circuits","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-374-analysis-and-design-of-digital-integrated-circuits-fall-2003","MIT"
"course88","Cryptography","https://www.coursera.org/course/cryptography","University of Maryland"
"course137","Randomized Algorithms ","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-856j-randomized-algorithms-fall-2002/","MIT"
"course94","Advanced Data Structures ","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-851-advanced-data-structures-spring-2012/","MIT"
"course120","Information Security and Risk Management in Context","https://www.coursera.org/course/inforiskman","University of Washington"
